№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
1;U+1F600;😀;;;;;;;;;;;—;—;—;grinning face;2012ˣ;face | grin
2;U+1F601;😁;;;;;;;;;;;;;;grinning face with smiling eyes;2010ʲ;eye | face | grin | smile
3;U+1F602;😂;;;;;;;;;;;;—;;face with tears of joy;2010ʲ;face | joy | laugh | tear
4;U+1F923;🤣;;;;;;;—;;;—;—;—;—;rolling on the floor laughing;2016ˣ;face | floor | laugh | rolling
5;U+1F603;😃;;;;;;;;;;;;;;smiling face with open mouth;2010ʲ;face | mouth | open | smile
6;U+1F604;😄;;;;;;;;;;;;—;—;smiling face with open mouth & smiling eyes;2010ʲ;eye | face | mouth | open | smile
7;U+1F605;😅;;;;;;;;;;;—;;—;smiling face with open mouth & cold sweat;2010ʲ;cold | face | open | smile | sweat
8;U+1F606;😆;;;;;;;;;;;—;;—;smiling face with open mouth & closed eyes;2010ʲ;face | laugh | mouth | open | satisfied | smile
9;U+1F609;😉;;;;;;;;;;;;;;winking face;2010ʲ;face | wink
10;U+1F60A;😊;;;;;;;;;;;;—;;smiling face with smiling eyes;2010ʲ;blush | eye | face | smile
11;U+1F60B;😋;;;;;;;;;;;—;;—;face savouring delicious food;2010ʲ;delicious | face | savouring | smile | um | yum
12;U+1F60E;😎;;;;;;;;;;;—;—;—;smiling face with sunglasses;2010ˣ;bright | cool | eye | eyewear | face | glasses | smile | sun | sunglasses
13;U+1F60D;😍;;;;;;;;;;;;;;smiling face with heart-eyes;2010ʲ;eye | face | love | smile
14;U+1F618;😘;;;;;;;;;;;;—;;face blowing a kiss;2010ʲ;face | kiss
15;U+1F617;😗;;;;;;;;;;—;—;—;—;kissing face;2012ˣ;face | kiss
16;U+1F619;😙;;;;;;;;;;—;—;—;—;kissing face with smiling eyes;2012ˣ;eye | face | kiss | smile
17;U+1F61A;😚;;;;;;;;;;;;—;;kissing face with closed eyes;2010ʲ;closed | eye | face | kiss
18;U+263A;☺;;;;;;;;;;;;—;;smiling face;1995ʲʷ;face | outlined | relaxed | smile
19;U+1F642;🙂;;;;;;;;;;;—;—;—;slightly smiling face;2014ˣ;face | smile
20;U+1F917;🤗;;;;;;;—;;;—;—;—;—;hugging face;2015ˣ;face | hug | hugging
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
21;U+1F914;🤔;;;;;;;—;;;—;—;—;—;thinking face;2015ˣ;face | thinking
22;U+1F610;😐;;;;;;;;;;—;—;—;—;neutral face;2010ʷ;deadpan | face | neutral
